CourseName,Songs
Opening,Shake It Off,Hall of Fame (feat. will.i.am),Shake It,Wrecking Ball,Replay,Firework
LuigiCircuit,Wide Awake,Dead And Gone
MooMooMeadows,You Belong With Me,Love Song
MushroomGorge,Get Lucky (feat. Pharrell Williams and Nile Rodgers),Call Me Maybe
ToadsFactory,Tik Tok,Royals
MarioCircuit,Die Young,I Will Wait
CoconutMall,Paper Planes,Good Feeling
DKSummit,Like A G6,I Love It (feat. Charli XCX)
WariosGoldMine,Everybody Talks,Mmm Yeah (feat. Pitbull)
DaisyCircuit,Whistle,I Wanna Go
KoopaCape,Umbrella,Rolling in the Deep
MapleTreeway,Scream & Shout,The Nights
GrumbleVolcano,Stay,Mirrors
DryDryRuins,California Gurls,Hey Baby (Drop It to the Floor) (feat. T-Pain),Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)
MoonviewHighway,Crack A Bottle,Shut Up And Drive
BowsersCastle,Feel This Moment (feat. Christina Aguilera),Set Fire to the Rain
RainbowRoad,Starships,Super Bass
PeachBeach,Shower,Still into You
YoshiFalls,Party In The U.S.A.,Classic
GhostValley,Locked Out of Heaven,The Edge Of Glory
MarioRaceway,Stolen Dance,Summertime Sadness
SherbetLand,You Make Me Feel... (feat. Sabi),Blurred Lines
ShyGuyBeach,So Good,HeadBand (feat. 2 Chainz)
DelfinoSquare,Kids,Safe And Sound
WaluigiStadium,Titanium (feat. Sia),Hips Don't Lie (feat. Wyclef Jean)
DesertHills,Halo,On The Floor
BowserCastle3,Applause,Holy Grail
JungleParkway,Roar,Timber (feat. Ke$ha)
GCNMarioCircuit,Paparazzi,Feel So Close - Radio Edit
MarioCircuit3,We Can't Stop,Bad Day
PeachGardens,Last Friday Night (T.G.I.F.),Right Round
DKMountain,Bulletproof,Too Close
N64BowsersCastle,StolenDance,Love The Way You Lie
