CourseName,Songs
Opening,It's Still Rock and Roll to Me,In The Air Tonight - 2015 Remastered,Beat It,The Ecstasy Of Gold - 2004 Remaster,Birdwatching,Eyes Without A Face,Bad Luck,Have You Ever Seen The Rain,Magick,Drops Of Jupiter (Tell Me),Everlasting Light,Maneater,Song 2 - 2012 Remaster,The Landing
LuigiCircuit,Seven Nation Army,Rock 'n' Roll (Part 2),Start Me Up - Remastered 2009
MooMooMeadows,Sweet Home Alabama,Before He Cheats,Sweet Caroline
MushroomGorge,Let It Happen,Electric Feel,Silver Soul,Plastic Beach (feat. Mick Jones and Paul Simonon)
ToadsFactory,Another Brick in the Wall Pt. 2,Toxicity,Kryptonite
MarioCircuit,1985,Rise and Shine,Let It Rock
CoconutMall,All Of The Lights,Flashing Lights,Ni**as In Paris
DKSummit,Immigrant Song - Remaster,Black Skinhead,The Zoo
WariosGoldMine,Crazy Train,Hot N*gga,Smells Like Teen Spirit
DaisyCircuit,Wasted,I'm Shipping Up To Boston,Heart Of The City (Ain't No Love)
KoopaCape,Tongue Tied,Mr. Blue Sky
MapleTreeway,Under Cover of Darkness,The Spins
GrumbleVolcano,NICE OUT,Don't Stop Believin' (2022 Remaster),Pompeii
DryDryRuins,Power,Bulls On Parade,Rock And Roll All Nite
MoonviewHighway,Jump Around,Bad Moon Rising
BowsersCastle,F**kin' Problems (feat. Drake 2 Chainz & Kendrick Lamar),Bad To The Bone,Howlin' For You
RainbowRoad,The Final Countdown,Jump - 2015 Remaster,Dream On
PeachBeach,I Love Rock 'N Roll,Rebel Yell,Only A Fool Would Say That
YoshiFalls,Do I Wanna Know?,Roadhouse Blues,Wonderwall
GhostValley,Back In Black,Paint It Black,Killer Queen - Remastered 2011
MarioRaceway,The Sound of Silence,Saving Grace,Feel Good Inc.
SherbetLand,Ice Ice Baby,Snow (Hey Oh),Cold as Ice
ShyGuyBeach,T.N.T.,Juke Box Hero,You Shook Me All Night Long
DelfinoSquare,The Boys Are Back In Town,Don't Bring Me Down,Paradise City
WaluigiStadium,You Give Love A Bad Name,Personal Jesus - 2006 Remaster,One Way Or Another
DesertHills,Sweet Child O' Mine,Runnin' Down A Dream,Californication
BowserCastle3,Highway to Hell,Hells Bells,Life is a Highway
JungleParkway,Welcome To The Jungle,Eye of the Tiger
GCNMarioCircuit,Fortunate Son,What's Up?,You Make My Dreams (Come True)
MarioCircuit3,House Of The Rising Sun,Summer Of '69,Old Time Rock & Roll
PeachGardens,Doo Wop (That Thing),Happy Together
DKMountain,Thunderstruck,Thunderstruck
N64BowsersCastle,Zombie,Viva La Vida
