CourseName,Songs
Opening,ShakeItOff,HallofFame,ShakeIt,DeadAndGone,WreckingBall
LuigiCircuit,WideAwake,Replay
MooMooMeadows,YouBelongWithMe,LoveSong
MushroomGorge,GetLucky,CallMeMaybe
ToadsFactory,TikTok,Royals
MarioCircuit,DieYoung,IWillWait
CoconutMall,PaperPlanes,GoodFeeling
DKSummit,LikeAG6,LikeAG6
WariosGoldMine,EverybodyTalks,mmmYeah
DaisyCircuit,Whistle,Whistle
KoopaCape,Umbrella,RollingintheDeep
MapleTreeway,Scream&Shout
GrumbleVolcano,Stay,Mirrors
DryDryRuins,CaliforniaGurls,HeyBaby
MoonviewHighway,GiveMeEverything,BlurredLines
BowsersCastle,FeelThisMoment,SetFiretotheRain
RainbowRoad,Starships,SuperBass
PeachBeach,Shower,StillIntoYou
YoshiFalls,PartyInTheUSA
GhostValley,LockedOutofHeaven,TheEdgeOfGlory
MarioRaceway,StolenDance,SummertimeSadness
SherbertLand,YouMakeMeFeel
ShyGuyBeach,SoGood,Headband
DelfinoSquare,Kids,SafeandSound
WaluigiStadium,Titanium
DesertHills,Halo,OntheFloor
BowserCastle3,Applause,HolyGrail
JungleParkway,Roar,Timber
GCNMarioCircuit,Paparazzi,FeelSoClose
MarioCircuit3,WeCantStop,BadDay
PeachGardens,LastFridayNight(T.G.I.F),RightRound
DKMountain,Bulletproof,TooClose
N64BowsersCastle,StolenDance,LoveTheWayYouLie
