song,spotify uri_code,img
A Day In The Life - Remastered 2009,spotify:track:0hKRSZhUGEhKU6aNSPBACZ,https://i.scdn.co/image/ab67616d0000b27334ef8f7d06cf2fc2146f420a
A Hard Day's Night - Remastered 2009,spotify:track:5J2CHimS7dWYMImCHkEFaJ,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd
Act Naturally - Remastered 2009,spotify:track:0IxxqsYBcCHEQ1HqLYJnwx,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa
All My Loving - Remastered 2009,spotify:track:4joiWvli4qJVEW6qZV2i2J,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73
All Of The Lights,spotify:track:22L7bfCiAkJo5xGSQgmiIO,https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f
And I Love Her - Remastered 2009,spotify:track:65vdMBskhx3akkG9vQlSH1,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd
AnotherBrickInTheWall,spotify:track:4gMgiXfqyzZLMhsksGmbQV,https://i.scdn.co/image/ab67616d0000b2735d48e2f56d691f9a4e4b0bdf
AnotherGirl,spotify:track:7hefVXaGsFPesbK6fKwS6F,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa
Antidote,spotify:track:1wHZx0LgzFHyeIZkUydNXq,https://i.scdn.co/image/ab67616d0000b273715973050587fe3c93033aad
Apparently,spotify:track:5O59s7bCgTFsXDXlWecyQ1,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8
Applause,spotify:track:5ka2ajep9OAvU5Sgduhiex,https://i.scdn.co/image/ab67616d0000b2737da123c944790bfab54b2522
Baby It's You - Remastered 2009,spotify:track:2VmB1rF9FtfKUmFHDVnq8Q,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df
Back In Black,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae
Back In The U.S.S.R. - Remastered 2009,spotify:track:0j3p1p06deJ7f9xmJ9yG22,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2
